#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m],q_RS_w [],q_RS_x [],q_RS_y [],q_RS_z []
37571004413,-1.416386566162109375e+02,1.336524105072021484e+01,-3.598869323730468750e+01,9.990507204403098473e-01,-6.024859283566058252e-03,-4.301135545686771838e-02,3.373775344370916196e-03
37671104513,-1.451936187744140625e+02,1.374218559265136719e+01,-3.682311630249023438e+01,9.990302722682872227e-01,-6.545389872928632571e-03,-4.337685469398334936e-02,3.757850425474438313e-03
37771204613,-1.488123779296875000e+02,1.407919406890869141e+01,-3.767519760131835938e+01,9.990317113031793594e-01,-5.547687348878271689e-03,-4.348012756055376349e-02,3.787015056461845094e-03
37871304713,-1.524809875488281250e+02,1.441554641723632812e+01,-3.855255126953125000e+01,9.990358043243199315e-01,-4.607176265479774602e-03,-4.348418726949849350e-02,3.919319128301774688e-03
37971404813,-1.562024383544921875e+02,1.475004100799560547e+01,-3.945239257812500000e+01,9.990335293253204130e-01,-3.952939366885899197e-03,-4.357100844538957379e-02,4.236599722385945947e-03
38071504913,-1.599739685058593750e+02,1.508390617370605469e+01,-4.037704086303710938e+01,9.990291688273478243e-01,-3.835016198695128178e-03,-4.365668486384683550e-02,4.484010436321178052e-03
38171605014,-1.637960052490234375e+02,1.541098213195800781e+01,-4.132749938964843750e+01,9.990064292363041165e-01,-1.900315710558228002e-03,-4.417869728588923184e-02,5.548499873953861676e-03
38271705114,-1.676455230712890625e+02,1.576468563079833984e+01,-4.230216598510742188e+01,9.989320018863027117e-01,5.239253190874151910e-04,-4.583759322795172980e-02,5.787586435866692511e-03
38371805214,-1.715433807373046875e+02,1.612095642089843750e+01,-4.329881286621093750e+01,9.989201036933043065e-01,2.065100749798685594e-04,-4.604119530118348791e-02,6.228332536510093782e-03
38471905314,-1.754973144531250000e+02,1.647032928466796875e+01,-4.431712722778320312e+01,9.989219613293189859e-01,5.559295370536797764e-04,-4.598054901087918894e-02,6.355724112533673448e-03
38572005414,-1.794997863769531250e+02,1.682097816467285156e+01,-4.535274505615234375e+01,9.989110780429812930e-01,2.282853518578089214e-04,-4.618455447870427333e-02,6.602497740306076564e-03
38672105514,-1.835747528076171875e+02,1.714026260375976562e+01,-4.640563201904296875e+01,9.989080304200793625e-01,2.830321283087284525e-04,-4.623835476053454047e-02,6.684400057675566643e-03
